가게 이름,주소,음식 종류,가격,네이버 지도 별점,방문자 리뷰?,블로그 리뷰
콜링우드,경기 수원시 팔달구 정조로 888,카페,4500,4.42,1248,1573
안경할머니곱창,경기 수원시 팔달구 매산로 2-10,한식,13000,4.29,290,249
옥집,경기 수원시 장안구 화산로233번길 25,한식,13900,4.4,564,119
동대문엽기떡볶이 수원성대점,경기 수원시 장안구 서부로 2132,분식,14000,4.21,658,45
우리동네스시카야,경기 수원시 장안구 경수대로 940,일식,1790,4.41,3120,613
서울24시감자탕,경기 수원시 장안구 서부로 2163,한식,42000,4.37,2232,920
채담,경기 수원시 장안구 대평로90번길 19,한식,12000,4.51,273,27
그레이트히말라야,경기 수원시 팔달구 매산로 7-1,아시아음식,26000,4.67,854,1058
태화루,경기 수원시 장안구 서부로2181번길 46,중식,5500,4.25,380,41
무공돈까스 수원천천점,경기 수원시 장안구 덕영대로535번길 34,일식,11000,4.45,1876,135
초가집,경기 수원시 권선구 서수원로594번길 260,한식,10000,4.29,2802,583
세컨디포레스트 행궁점,경기 수원시 팔달구 화서문로46번길 12 1층,양식,18000,4.58,3601,1410
에어홀,경기 수원시 팔달구 정조로 896 1층,양식,22800,4.48,466,566
27도블랑제리,경기도 수원시 장안구 천천동 번지 1층 527-7,카페,5800,4.49,1418,67
메가MCG커피 수원SK스카이뷰점,경기 수원시 장안구 이목로 24-3,카페,1500,4.43,1660,6
동떡이아주대점,경기 수원시 영통구 아주로 22,분식,5000,4.52,1245,317
등촌샤브칼국수 천천동점,경기 수원시 장안구 정자로20번길 27,한식,12000,4.53,1183,91
이학순베이커리 수원점,경기 수원시 장안구 경수대로 1252,카페,5500,4.26,12250,1718
보약족발,경기 수원시 영통구 청명로77번길 33,한식,20000,4.81,2413,623
두가지떡볶이,경기 수원시 영통구 영일로 16-4,한식,8000,4.52,148,28
전광수 커피하우스,경기 수원시 영통구 반달로 58,카페,5000,4.21,396,62
쏘울피,경기 수원시 영통구 덕영대로 1701,양식,11000,4.41,105,69
키와마루아지,경기 수원시 영통구 영일로 8,일식,7500,4.21,308,202
최고당돈가스,경기 수원시 영통구 영일로21번길 8-1,일식,6900,4.42,581,90
하루텐동,경기 수원시 영통구 청명로 17 1층 하루텐동,일식,10000,4.34,463,240
하추다방,경기 수원시 영통구 매영로415번길 23,카페,5000,4.46,201,119
메콩타이,경기 수원시 영통구 반달로 26,아시아음식,11500,4.48,259,83
청년다방,경기 수원시 영통구 봉영로 1590,분식,13500,4.37,560,108
떡군이네,경기 수원시 영통구 청명남로4번길 13-4,분식,10000,4.85,96,7
두가지떡볶이,경기 수원시 영통구 영일로 16-4,분식,16000,4.52,148,28
엽기떡볶이,경기 수원시 영통구 봉영로 1612 보보스프라자 123,분식,14000,4.15,692,62
신전떡볶이,경기 수원시 영통구 봉영로 1612,분식,3500,4.31,629,42
이모네중앙닭발,경기 수원시 영통구 청명남로34번길 18,한식,18000,4.34,382,153
찌개지존,경기 수원시 영통구 월드컵로193번길 81-8,한식,23000,4.53,527,105
심가네감자탕,경기 수원시 영통구 청명로 16,한식,9000,4.55,137,18
서울24시감자탕해장국,경기 수원시 영통구 청명남로 48,한식,9500,4.18,732,74
전주청기와감자탕,경기 수원시 영통구 청명남로 4,한식,10000,4.38,203,16
화성옥,경기 수원시 영통구 청명남로 16,한식,8000,4.26,828,36
청진옥,경기 수원시 영통구 청명로21번길 4,한식,9000,4.4,35,44
꽃찬찜닭,경기 수원시 영통구 매영로 414,한식,24000,4.32,152,45
락빈닭칼국수한마리,경기 수원시 영통구 청명남로12번길 5-22,한식,7000,4.19,131,87
새마을식당,경기 수원시 영통구 청명남로 21,한식,10900,4.39,332,84
정통집,경기 수원시 영통구 청명남로 32,한식,25000,4.34,279,168
천보헌,경기 수원시 영통구 매영로 390,한식,7900,4.13,214,54
장터밥상,경기 수원시 영통구 반달로 46,한식,7000,4.38,477,122
이모찌마,경기 수원시 영통구 매영로415번길 42-26,한식,8000,3.99,158,14
찜생찜사,경기 수원시 영통구 매영로 416,한식,9000,4.45,162,27
소담촌,경기 수원시 영통구 청명남로 30,한식,16900,4.52,2284,423
깡우동,경기 수원시 영통구 청명남로28번길 2,한식,8500,4.46,1142,1341
보영만두,경기 수원시 영통구 청명남로28번길 2,분식,8000,4.28,2304,329
장인족발,경기 수원시 영통구 매영로393번길 33,한식,42000,4.42,827,177
보약족발,경기 수원시 영통구 청명로77번길 33,한식,39000,4.81,2411,621
대가국수,경기 수원시 영통구 청명남로 21,한식,5500,4.4,811,28
부대통령,경기 수원시 영통구 덕영대로 1701,한식,6000,4.48,655,40
청담칼국수,경기 수원시 영통구 청명남로 6-1,한식,7000,4.37,557,71
코끼리닭발,경기 수원시 영통구 덕영대로1681번길 15,한식,22000,4.78,21,2
